id;pcode;space;start;end;activity
31;1,01E+13;100200;1075;1740;1
32;1,01E+13;100200;240;580;1
32;1,01E+13;*;580;590;131
32;1,01E+13;100502;590;660;41
32;1,01E+13;*;660;680;131
32;1,01E+13;*;660;680;131
32;1,01E+13;100200;680;1740;1
33;1,01E+13;100200;240;660;1
33;1,01E+13;*;660;735;122
33;1,01E+13;650100;735;840;53
33;1,01E+13;*;840;960;100
33;1,01E+13;650100;960;960;52
33;1,01E+13;*;960;1080;122
33;1,01E+13;100200;1080;1110;1
33;1,01E+13;*;1110;1150;131
33;1,01E+13;210200;1150;1230;51
33;1,01E+13;*;1230;1275;131
33;1,01E+13;*;1230;1275;133
33;1,01E+13;100200;1275;1740;1
34;1,01E+13;100200;240;495;1
34;1,01E+13;*;495;510;121
34;1,01E+13;90100;510;600;41
34;1,01E+13;*;600;605;121
34;1,01E+13;90100;605;615;33
34;1,01E+13;*;615;630;121
34;1,01E+13;100200;630;1740;1
35;1,01E+13;100200;240;480;1
35;1,01E+13;*;480;500;100
35;1,01E+13;100800;500;1035;11
35;1,01E+13;*;1035;1055;100
35;1,01E+13;100200;1055;1740;1
36;1,01E+13;100200;240;500;1
36;1,01E+13;*;500;510;100
36;1,01E+13;90506;510;515;61
36;1,01E+13;*;515;520;111
36;1,01E+13;110302;520;795;11
36;1,01E+13;*;795;795;111
36;1,01E+13;21100;795;830;53
36;1,01E+13;*;830;835;111
36;1,01E+13;10800;835;975;13
36;1,01E+13;*;975;980;111
36;1,01E+13;100200;980;1010;1
36;1,01E+13;*;1010;1030;121
36;1,01E+13;240700;1030;1060;41
36;1,01E+13;*;1060;1080;121
36;1,01E+13;100100;1080;1110;33
36;1,01E+13;*;1110;1115;121
36;1,01E+13;100200;1115;1740;1
37;1,01E+13;100200;240;360;1
37;1,01E+13;*;360;390;121
37;1,01E+13;250108;390;1140;11
37;1,01E+13;*;1140;1160;121
37;1,01E+13;100200;1160;1200;1
37;1,01E+13;*;1200;1215;121
37;1,01E+13;110806;1215;1260;32
37;1,01E+13;*;1260;1275;121
37;1,01E+13;100200;1275;1380;1
37;1,01E+13;*;1380;1400;100
37;1,01E+13;10400;1400;1400;52
37;1,01E+13;*;1400;1420;100
37;1,01E+13;100200;1420;1740;1
38;1,01E+13;100200;240;510;1
38;1,01E+13;*;510;515;121
38;1,01E+13;110500;515;530;11
38;1,01E+13;*;530;560;133
38;1,01E+13;10400;560;630;13
38;1,01E+13;*;630;645;100
38;1,01E+13;20700;645;650;42
38;1,01E+13;*;650;660;133
38;1,01E+13;110500;660;760;11
38;1,01E+13;*;760;765;121
38;1,01E+13;100200;765;840;1
38;1,01E+13;*;840;845;122
38;1,01E+13;110500;845;1110;11
38;1,01E+13;*;1110;1130;100
38;1,01E+13;100200;1130;1740;1
39;1,01E+13;100200;240;835;1
39;1,01E+13;*;835;840;121
39;1,01E+13;110500;840;840;61
39;1,01E+13;*;840;845;121
39;1,01E+13;100200;845;900;1
39;1,01E+13;*;900;930;121
39;1,01E+13;80401;930;1080;41
39;1,01E+13;*;1080;1110;121
39;1,01E+13;100200;1110;1115;1
39;1,01E+13;*;1115;1120;121
39;1,01E+13;100500;1120;1125;33
39;1,01E+13;*;1125;1130;121
39;1,01E+13;100200;1130;1740;1
40;1,01E+13;100200;240;450;1
40;1,01E+13;*;450;460;121
40;1,01E+13;240101;460;475;32
40;1,01E+13;*;475;495;121
40;1,01E+13;470700;495;750;11
40;1,01E+13;*;750;755;121
40;1,01E+13;470700;755;810;53
40;1,01E+13;*;810;815;121
40;1,01E+13;470700;815;1095;11
40;1,01E+13;*;1095;1125;121
40;1,01E+13;80900;1125;1260;51
40;1,01E+13;*;1260;1270;121
40;1,01E+13;100200;1270;1740;1
41;1,01E+13;100200;240;450;1
41;1,01E+13;*;450;460;111
41;1,01E+13;90500;460;620;11
41;1,01E+13;*;620;625;111
41;1,01E+13;100200;625;795;1
41;1,01E+13;*;795;800;121
41;1,01E+13;90500;800;905;11
41;1,01E+13;*;905;910;121
41;1,01E+13;100200;910;945;1
41;1,01E+13;*;945;945;121
41;1,01E+13;100400;945;950;33
41;1,01E+13;*;950;965;121
41;1,01E+13;240400;965;1120;51
41;1,01E+13;*;1120;1135;121
41;1,01E+13;100200;1135;1190;1
41;1,01E+13;*;1190;1195;121
41;1,01E+13;90200;1195;1200;64
41;1,01E+13;*;1200;1205;121
41;1,01E+13;100200;1205;1225;1
41;1,01E+13;*;1225;1230;121
41;1,01E+13;100602;1230;1230;74
41;1,01E+13;*;1230;1235;121
41;1,01E+13;100200;1235;1740;1
42;1,01E+13;100200;240;600;1
42;1,01E+13;*;600;615;100
42;1,01E+13;90100;615;620;33
42;1,01E+13;*;620;630;100
42;1,01E+13;100200;630;780;1
42;1,01E+13;*;780;810;121
42;1,01E+13;240100;810;1020;42
42;1,01E+13;*;1020;1065;121
42;1,01E+13;590600;1065;1155;54
42;1,01E+13;*;1155;1170;121
42;1,01E+13;591000;1170;1380;53
42;1,01E+13;*;1380;1410;121
42;1,01E+13;100200;1410;1740;1
43;1,01E+13;100300;240;480;1
43;1,01E+13;*;480;490;111
43;1,01E+13;101000;490;750;11
43;1,01E+13;*;750;760;111
43;1,01E+13;100300;760;840;1
43;1,01E+13;*;840;850;111
43;1,01E+13;101000;850;1140;11
43;1,01E+13;*;1140;1150;111
43;1,01E+13;100300;1150;1740;1
44;1,01E+13;100300;240;240;1
44;1,01E+13;*;240;260;121
44;1,01E+13;300301;260;780;11
44;1,01E+13;*;780;800;121
44;1,01E+13;100300;800;1740;1
45;1,01E+13;100300;240;510;1
45;1,01E+13;*;510;540;133
45;1,01E+13;50312;540;1020;25
45;1,01E+13;*;1020;1050;133
45;1,01E+13;100300;1050;1740;1
46;1,01E+13;100300;240;515;1
46;1,01E+13;*;515;520;100
46;1,01E+13;100302;520;990;22
46;1,01E+13;*;990;995;100
46;1,01E+13;100300;995;1740;1
47;1,01E+13;100300;240;515;1
47;1,01E+13;*;515;520;100
47;1,01E+13;100302;520;990;22
47;1,01E+13;*;990;995;100
47;1,01E+13;100300;995;1740;1
48;1,01E+13;100300;240;1295;1
48;1,01E+13;*;1295;1310;133
48;1,01E+13;20300;1310;1455;53
48;1,01E+13;*;1455;1475;133
48;1,01E+13;100300;1475;1740;1
49;1,01E+13;100300;240;245;1
49;1,01E+13;*;245;285;121
49;1,01E+13;470202;285;750;11
49;1,01E+13;*;750;795;121
49;1,01E+13;100300;795;1740;1
